context_id	word	gold_sense_id	predict_sense_id	positions	context
18	дисциплина	2	1	87-95	учебных программ и их тематического наполнения для общетеоретических и технологических дисциплин, базирующихся на традиционных разделах науки и техники (например, математика, общая
19	дисциплина	2	4	81-90	предыдущим опытом. Социология (как наука об обществе, а не как сугубо прикладная дисциплина), теория политической науки, основы социальной работы, правоведение (как правопонимание
20	дисциплина	3	3	83-92	лёгких пробежек, прогулок и повседневной носки. Оптимальная цена. Съемная стелька. Дисциплина : бег, Вид покрытия: шоссе, дорожка, Преимущественные нагрузки: объемные тренировки
21	дисциплина	2	1	80-88	подготовки — органическое сочетание в изучении фундаментальных и общеинженерных дисциплин (математика, физика, химия, электроника, информатика и т.д.) с научными дисциплинами
22	дисциплина	1	5	84-93	сновидения - это очень серьезно. Для этого необходимо усилие, необходима строжайшая дисциплина.
23	дисциплина	1	5	42-51	похудения для людей, не готовых к жесткой дисциплине? Конечно, есть, утверждают мастера восточной SPA-школы. Например, к таким процедурам
24	дисциплина	2	1	87-95	мультимедийные комплексы учебно- методических материалов для самостоятельного изучения дисциплин (МГИЭМ, МТИПП, МГАПИ, МАИ, МГТУ им. Баумана).
25	дисциплина	2	1	57-66	Экономическая эффективность учреждений Роспотребнадзора. дисциплины вариативной части ФГОС
26	дисциплина	3	5	80-89	масс стоит «фристайл». Удивляться тут особо нечему, так как это самая зрелищная дисциплина. Правда, при этом она же и самая сложная, как в обучении, так и в выполнении. Профессиональные
27	дисциплина	2	1	85-94	чиновником на различных должностях. С 1860 по 1865 г. преподавал гражданско-правовые дисциплины в Московском университете. Поворотным пунктом в его судьбе стало предложение читать
28	дисциплина	1	5	80-89	в процессе катехизации об основах веры и об основах церковной жизни и конечно о дисциплине и, понимая истинное ее место в церковной жизни, принимал на себя ответственность
29	дисциплина	2	1	81-91	», которая изучается студентами всех специальностей ВСГТУ, а также профилирующим дисциплинам специальности «Охрана окружающей среды и рациональное использование природных ресурсов
30	дисциплина	2	1	65-73	Доцент, ведущий преподаватель по рисунку, практикующий дизайнер. дисциплин: «Рисунок», «Специальный и дизайнерский рисунок».
31	дисциплина	1	5	80-89	для любого человека является фитнес и здоровый образ жизни, потому что это учит дисциплине и уважению».
32	дисциплина	1	5	81-91	завоевателях и высокой культуре труда в сочетании с жесточайшей производственной дисциплиной.
33	дисциплина	2	1	75-84	легкой промышленности, малого бизнеса и работы с индивидуальными клиентами.Дисциплины лаборатории моды:
34	дисциплина	2	4	80-89	нет альтернативы! Никакой! Я считаю, что в школе должны преподаваться следующие дисциплины: этика, философия (именно они учат жить среди людей, раздвигают рамки сознания,
35	дисциплина	1	2	84-93	говорят о другом. Среди рабочих и ИТР достаточно высок процент нарушителей трудовой дисциплины. За годы вынужденной стагнации экономики люди отвыкли от интенсивного труда, производительность
36	дисциплина	1	5	87-96	Ослабление военного могущества империи явилось одним из результатов гражданской войны. Дисциплина в армии упала. Солдаты почувствовали себя хозяевами положения, видя, что императоры
37	дисциплина	2	1	82-90	Московский государственный горный университет, факультет психолого-педагогических дисциплин, специальность Управляющий директор (Managing Director) незаконченное высшее, Московский
38	дисциплина	2	1	83-91	общеинститутских научных конференциях по обсуждению преподавания общетеоретических дисциплин и педагогической практики.
39	дисциплина	2	1	72-81	Обучение в течение 4-х лет в рамках расписания юридического факультета; дисциплины Вы изучаете в рамках данной программы?
40	дисциплина	1	5	89-98	Необходимо уяснить раз и навсегда - это определенные нормы поведения, принципы, трудовая дисциплина. Ну а что касается самой формы одежды, здесь должен быть компромисс: опросы школьников
41	дисциплина	3	5	47-56	Очень динамичный эпизод с гонками, яркие фоны. дисциплине обновленный FP93GX+ показал себя молодцом: при дневном освещении все видео выглядят
42	дисциплина	2	4	85-93	математика , а не вычислительная математика . За прилагательными в названиях научных дисциплин нередко таится некая ущербность [46] , которая хорошо иллюстрируется гипотетическим
43	дисциплина	2	2	73-82	» («Финансовый менеджмент», «Банковское дело»). копировать в буфер обменаДисциплина(ы): Банковское дело
44	дисциплина	2	1	46-55	автомобильным, воздушным и водным транспортом дисциплины: • математическая логика и теория алгоритмов; • дискретная математика; • теория
45	дисциплина	2	4	84-93	Фалуньгун, также известный как Фалунь Дафа является традиционной китайской духовной дисциплины, которая состоит из пяти упражнений и медитации нравственное учение основано на
46	дисциплина	2	1	45-53	Алексеевич, доцент кафедры уголовно-правовых дисциплин Курганского государственного института
47	дисциплина	2	1	40-48	основе сбалансированного набора учебных дисциплин, обеспечивающих выпускнику широкий кругозор в области экономического, математического
48	дисциплина	1	5	80-89	«Зенит». И эти контратаки у питерцев проходили. Оставалось поддерживать игровую дисциплину при помощи крика...
49	дисциплина	2	1	85-94	учебным комплексом, включающим учебник, практикум и методические указания к изучению дисциплины. Освещены все последние изменения, связанные с введением Нового плана счетов и
50	дисциплина	2	1	31-40	деятельности: сентябрь 1996 г. дисциплины: экономическая теория, микроэкономика, микроэкономика (продвинутый уровень), макроэкономика
51	дисциплина	2	4	84-92	позволяет детям осуществлять перенос информатических знаний на содержание различных дисциплин. Методы, применимые к задачам курса (метод перебора, метод проб и ошибок, метод
52	дисциплина	2	1	86-94	учебник, разработка для высшей школы в области гуманитарных и социально-экономических дисциплин (Раздел 3) .
53	дисциплина	1	5	81-90	устанавливаться изнутри и вследствие лишь внешнего давления возникнуть не может. Дисциплина эта в последние годы, как ни печально, ослабла, и некоторые из нас выражают надежду
54	дисциплина	2	5	80-89	академиях), за исключением Академии Генерального штаба, полностью ликвидированы дисциплины по тематике противодесантных, морских десантных операций. Поэтому и молодые лейтенанты
55	дисциплина	2	1	41-49	переподготовки состоит из четырех блоков дисциплин (блок общепрофессиональных дисциплин; блок специальных дисциплин; блок вспомогательных
56	дисциплина	1	5	73-82	SAP мы по-другому сделать не можем'. Обычно этого оказывалось достаточно.Дисциплина на проекте вообще была строгой: при необходимости сотрудники функциональных подразделений
57	дисциплина	2	4	81-89	1 столь секретный совет». Но за несколько месяцев, параллельно с десятком других дисциплин!? Преподаватели прекрасно всё понимают, поэтому на экзамене большинство получают
58	дисциплина	2	1	84-92	Музыковед ДШИ № 5 Никитина Г.В. провела для преподавателей музыкально-теоретических дисциплин практикум по музицированию «Музыкальный конструктор». Актуальность этой темы связана
59	дисциплина	2	1	51-60	Методические рекомендации обучающимся. На изучение дисциплины «Современные проблемы науки» учебным планом отводится 32 часа аудиторного времени
60	дисциплина	2	1	41-51	подход к обучению социально-гуманитарным дисциплинам способствует формированию Я-концепции будущего специалиста, основой которой выступают
61	дисциплина	2	1	80-90	Формирование компетенции в процессе подготовки будущего учителя по гуманитарным дисциплинам 146
62	дисциплина	2	1	84-92	Борис Николаевич – кандидат юридических наук, зав. кафедрой специальных юридических дисциплин (Методические аспекты оценки деятельности руководителей органов государственной
63	дисциплина	2	1	96-104	образовательного стандарта старшеклассники будут изучать четыре обязательных предмета и еще ряд дисциплин смогут выбирать для углубленного изучения. Таковы данные опроса, проведенного ВЦИОМ
64	дисциплина	2	1	86-94	истории Советской Армии (1918 -1945 гг.)' (РГГУ, кафедра вспомогательных исторических дисциплин; научный руководитель - д-р ист. наук, проф. О.М.Медушевская).
65	дисциплина	2	1	84-93	работы на кафедре психологии образования и развития с 2003 г. Преподаваемые учебные дисциплины: 'Общий психологический практикум', 'Психология труда', 'Основы профориентологии
66	дисциплина	1	1	72-81	специальные классные комнаты, а 2 февраля 1884 года состоялось открытие.Дисциплина в школе была отличная, – пишет в своих воспоминаниях выпускница школы Козлова Мария
67	дисциплина	2	4	78-87	относятся к тридцатым годам прошлого века, а работы Фурье относятся к 19 веку.Дисциплина, занимающаяся этими задачами, называется – « Анализ временных рядов и обработка
68	дисциплина	2	4	81-89	делового администрирования, который привлекает людей из широкого спектра научных дисциплин. Обозначение MBA появилось в Соединенных Штатах, в конце 19 века, как в страна
69	дисциплина	2	1	33-42	проводятся в форме тестирования. дисциплины</p><p>
70	дисциплина	1	5	89-98	понимающие свои олератлв- . ные задачи, получают право и обязанность в. пределах строгой дисциплины проявлять личную инициативу «с разумом, искусством и под ответом».
71	дисциплина	1	2	90-99	обнаружения признаков преступления, административного правонарушения, нарушения служебной дисциплины незамедлительно доложить об этом председателю комиссии;
72	дисциплина	2	4	83-91	объяснения единичных понятий, так и для преподавания определенных учебных курсов и дисциплин.
73	дисциплина	1	5	80-89	волос. Питание для всех типов сухих волос, четкие локоны для вьющихся волос или дисциплина и гладкость для непослушных волос. Программа питает Ваши волосы, сохраняя их легкость
74	дисциплина	1	5	83-92	прогнозируешь. Откажись от случайных результатов! Планируй свою работу. Не нарушай дисциплину и план торговли. Контролируй свои эмоции и речь. Предпочитай тонкие и многообразные
75	дисциплина	2	1	84-93	хроники и узнавать себя на обложках глянцев Москвы?! 1. Мастерство актера Изучаемые дисциплины: 3. Сценическое движение. 2. Сценическая речь Преподаватели – высококвалифицированные
76	дисциплина	2	4	91-100	размышления и дискуссию по теме, указав ее теоретическое и практическое место и значение в дисциплине, желаемые результаты исследования (что они должны так сказать знать и как бы уметь
77	дисциплина	2	1	89-98	предметов составляют «основы архитектурного проектирования». В связи с особой ролью этой дисциплины, к планировке и оснащению архитектурной студии колледжа предъявляются повышенные
78	дисциплина	2	1	42-50	проводить занятия с углубленным изучением дисциплин:
79	дисциплина	1	2	94-103	несовершеннолетние. Начальник столичного УВД потребовал от подчиненных соблюдения законности, дисциплины и всегда вежливого отношения к гражданам. Как всегда, инструктаж завершился на
80	дисциплина	3	3	87-97	Чемпионат города Москвы по сноуборду и Открытый Чемпионат России по сноуборду в мягких дисциплинах . Соревнования проводятся на территории Центра всесезонных видов спорта «Новопеределкино
81	дисциплина	2	4	87-95	проблемы. Причина этого, вероятно, в том, что история входит в число основных школьных дисциплин и написать работу в этой области среди школьников и студентов считается делом не
82	дисциплина	1	5	82-91	навязывавшегося патернализма, снижение требовательности и падение исполнительской дисциплины сильно изменили отношение к государственной власти, что наиболее ясно просматривается
83	дисциплина	1	5	81-90	только в сомнениях. На протяжении многих лет нас всех воспитывали в духе жесткой дисциплины, подчинения вышестоящим, веры в их служебную и государственную мудрость. Воспитывали
84	дисциплина	1	5	84-93	благородства и самосовершенствования вместо порнографической попкультры, воспитание дисциплины вместо произвола и своеволия. Наша демократия ни в коем случае не должна быть последышем
85	дисциплина	1	5	85-94	жизнь уже принятых решений. Исполнение инструкций правительства требует от дипломата дисциплины и изобретательности. Дипломат должен твердо и 'неуклонно исполнять полученные инструкции
86	дисциплина	2	4	81-90	, а также использующие данные текущей информации. Многие теоретические положения дисциплины конкретизированы и прокомментированы для того, чтобы студенты могли получить четкие
87	дисциплина	2	4	83-92	теории стиля как фундаментального научного направления и самостоятельной вузовской дисциплины. В сущности, В. В. Эйдиновой разрабатывается новый методологический подход к стилю
88	дисциплина	2	1	88-97	регулирования.• Автотронное оборудование, которое изучается в новой специальной учебной дисциплине «Автотрони-ка»*, — это совокупность комплексных автоматических систем управления
89	дисциплина	1	2	83-92	комплекса, при условии соблюдения требований инструкций по охране труда и трудовой дисциплины; 4.7. среди старших комбайнеров молодежных экипажей 8. Не выдвигаются на премирование
90	дисциплина	2	5	81-91	Вы не проснетесь и не возьмете в руки книг по политэкономии и прочим необходимым дисциплинам: там все написано давно, - что делать и как быть, кто дурак, а кому морду бить.
91	дисциплина	1	5	83-92	ему возможность развить свои способности и приготовиться к радостному общежитию. И дисциплине. Которую тоже необходимо тренировать. При всем том, что как можно больше должно
92	дисциплина	2	1	80-88	на трех дисциплинах – русский язык, математика и история. Большинство остальных дисциплин укладываются в эти три фундаментальные дисциплины.
93	дисциплина	1	5	80-89	А детей нужно контролировать и стараться с самого начала приучить к своебразной дисциплине пользования инетом, хоть это и сложно. А почему за интернетом будущее, думаю, не
94	дисциплина	2	1	84-92	теоретическую и практически-экспериментальную работу по организации других школьных дисциплин по принципам “Философии для детей”.
95	дисциплина	1	5	80-89	подготовки. Так что потому, что их присутствие способно тлетворно отразиться на дисциплине процесса. Так что потому, что в таком случае окажется зело трудно препятствовать
96	дисциплина	2	1	49-59	инструкция по ремонту chery eastar 3 Апреля 2011 дисциплинам Здесь можно скачать книги по химии , физике, математике и многое другое Большое
97	дисциплина	2	4	83-91	архитектором, музыкантом, переводчиком, модельером или преподавателем гуманитарных дисциплин. Носительница имени Виолетта обладает незаурядной, привлекательной внешностью.
98	дисциплина	2	1	22-30	окрестностям поселка. дисциплин осуществляется с применением мультимедийных программ. Занятия проводятся в группах
99	замок	2	2	87-91	удобства создают всевозможные электроприводы: стеклоподъемников, зеркал и центрального замка. Для высших комплектаций предусмотрен парктроник.
100	замок	2	2	44-48	таким неожиданностям? Очень просто, смените замок на гараже или повесьте дополнительный, если первый вам не внушает доверия. И стоит
101	замок	1	3	82-86	живет самое большое в мире привидение. Немало туристов привлекают и средневековые замки на Рейне, которые позиционируются как официальные резиденции призраков. Есть в
102	замок	1	1	85-89	веков. Приглашаем Вас провести Вашу свадьбу в Чехии в средневековом стиле. Старинный замок Локет - наилучшее место для Вашей исторической свадьбы. Замок Локет, ведущий свою
103	замок	2	3	90-95	оборудованием в недрах американских гор. Грубо говоря, это ОЧЕНЬ надежно. Ваши данные под замком. Как минимум от этого ценник выше. Не говоря уже о реальном 10 летнем опыте построения
104	замок	1	1	81-85	Интересная комбинированная экскурсия, которая позволит Вам увидеть два старинных замка Шотландии: Замок Абботсфорд (The Abbotsford Castle), родовое поместье сэра Вальтера
105	замок	2	4	80-85	города, уже из Петербурга поступали запросы, кого там местные власти держат под замком в больнице? Испуганные возможными последствиями местные власти стали искать способ
106	замок	1	3	90-94	англичанином Эдуардом Блором, дворец с запада напоминает мрачный средневековый феодальный замок, с севера близок к английскому тюдоровскому стилю. Южный фасад имеет еще более
107	замок	2	2	85-89	обчистили жилище Чумака на четыре миллиона рублей, пришли по старому следу, вырезали замки и забрали все ценное, что там оставалось», — сообщил тогда источник в правоохранительных
108	замок	1	1	82-86	честь своего создателя лорда Крумлова из рода Витковичей. Монументальный комплекс замка Чески Крумлов, как его называют местные жители, расположен на продолговатом скалистом
109	замок	1	3	82-86	на континенте», но речь идет о самом крупном из Британских островов. Как такового замка нет, зато живописные руины позволяют разгуляться фантазии и дарят фотографам интересные
110	замок	2	2	40-44	(электромеханические и электромагнитные замки, турникеты);
111	замок	2	4	82-86	неотрывно смотрю на дверь. Я жду. Я верю, я знаю – они придут, зашевелится ключ в замке….. мне дадут много-много вкусного молока… и я усну, свернувшись клубком на груди
112	замок	1	3	87-91	Pernstejn) выглядят именно так, как большинство из нас представляет себе средневековый замок. Благодаря этому она является одним из самых популярных туристических объектов
113	замок	2	2	80-85	листа Захват для поднятия и перемещения труб Захват для бетонных колец Захват с замком для подъема и поворота стальных листов в вертикальном положении
114	замок	1	1	86-90	Землевладение создало дворянство. Рыцарь-разбойник, который захватывал землю и строил замок, становился благородным лордом, сеньором, который пользовался всеобщим уважением
115	замок	2	2	89-94	насчитывает более 2000 моделей дверей и множество дверной фурнитуры, межкомнатных ручек, замков... Но наиболее востребованными стали межкомнатные двери из массива и шпонированные
116	замок	2	2	84-88	лента на конце имеет замок круглый формы из ударопрочного ABS-пластика, пластиковый замок который имеет фиксатор для того что бы каждый желающий не мог его сдернуть с приемного
117	замок	1	4	84-88	принадлежит не тебе (ведь ты таак любишь и понимаешь футбол… Почему яхты/самолетыи/ замки/островадворцы/красавицы и красавцы /сокр овища… не твои, а их?! Почему все что
118	замок	1	3	87-91	погасли все огни, и замок погрузился во мрак. Крики, стоны людей, страх и ужас окутали замок плотной пеленой. Что случилось? Что произошло?- отовсюду слышались возгласы людей
119	замок	1	1	85-89	приехать в этот загадочный Невицкий замок - замок «невест»). Экскурсия в Ужгородский замок (Каменная летопись города) , музей архитектуры и быта под открытым небом (рассказывает
120	замок	1	3	82-86	холмы и далекие башни Спишской Капитулы * . Над городком возвышались руины белого замка. Он был такой большой и белый, что казался каким-то метеорологическим курьезом,
121	замок	1	1	88-92	французском, английской, немецком и датском языках. Видимо, русские редкие гости в этом замке, поэтому необходимости в гид-туре для наших соотечественников пока нет. За достаточно
122	замок	2	2	81-86	и безопасность, не требуется никакая регистрация в ГАИ, кофр оборудован надежным замком, а цена его вполне сопоставима с ценой приличного спиннинга, в общем, классная
123	замок	2	2	81-85	к замку в случае поломки. С целью увеличения степени надежности дверного полотна замок как бы «вкладывают» во входную дверь полностью. Данный метод называется « врезка
124	замок	1	1	85-90	бизнеса составление долгосрочных бюджетов чаще всего сродни строительству «воздушных замков». Лучше этим не заниматься и с точки зрения экономии денежных средств, и просто
125	замок	1	1	87-91	регионов Франции. Еще со времен Столетней войны здесь сохранились укрепленные города и замки, отличающиеся красотой, гармонично связанной с природой. На юго-востоке региона
126	замок	2	2	83-87	весь мир, что два металла могут давать электричество, что Гальвани обронил ключ от замка. Вольте нелегко далась эта кампания по просвещению заблудших, но он добросовестно
127	замок	2	3	83-88	замки данной модели имеют мощный корпус из стали. Существует множество модификаций замков этой серии.
128	замок	1	1	80-84	Росток. Трансильвания, обиталище графа Орлока, снималась в Словакии. В качестве замка вампира при съемках исп
129	замок	1	4	92-96	средневекового замка, но от остановки их не видно (они расположены за лесом), я сам узнал о замке уже после того, как побывал в Базеле, так что не знаю, заслуживает ли он посещения
130	замок	1	1	34-38	посвящена эпохе этого императора) замок с богатейшей коллекцией средневекового оружия и охотничьих трофеев. Изначально
131	замок	1	4	83-87	вполне оправившийся от недавнего потрясения, и вестником счастья помчался в Лесной Замок. -- А, вот вы где, -- сказал он, входя в сад. -- Я звоню, звоню, и никакого ответа
132	замок	2	4	85-89	улице палка Курбана задела что-то. Курбан, нагнувшись, пошарил рукой и нашел ключ от замка. Курбан продолжил свой путь. Навстречу ему попалась соседка Шагважи.
133	замок	2	2	41-45	точный механизм и тяжелый засов. У этого замка был действительно очень точный механизм и три отдельных засова. Так что отмычка
134	замок	2	2	82-87	способов сделать это. Первое – охрана. Второе – металлическая дверь с современным замком, которая обязательно станет препятствием для грабителей. Но, так или иначе, все
135	замок	1	3	89-93	рыцарский замок для романтичных натур, когда банкетный зал превращается в парадные покои замка, где горят факелы, а столы уже ломятся от свежеприготовленной дичи. Японский ресторан
136	замок	2	2	82-86	небом. Примечательно, что крышка бензобака расположена в правом переднем крыле, а замок зажигания находится слева от рулевой колонки.
137	замок	2	2	86-90	хищение произошло в ночь на 7 февраля. И снова неустановленные воры, подобрав ключи к замку, похитили из цеха два жидкокристаллических монитора.
138	замок	2	2	84-89	сервиса (наша компания имеет свою службу сервиса). Желательно, чтобы выбор и замена замков осуществлялась одним квалифицированым мастером, предварительно выполнившим осмотр
139	замок	1	1	82-86	Вары и который находится неподалеку от бывшей королевской охотничьей резиденции – замка Локет.
140	замок	1	1	82-86	доверенных лиц, министров… Начало череде неизбежных жертв положено в Михайловском замке в кровавую ночь с 11 на 12 марта 1801 года. Никогда и нигде не скрыться ему от
141	замок	2	4	83-87	одну историю вспомнила -надо было мне ехать, а все не могла выйти из помещения, то замок куртки заело, то кофтой зацепилась, то телефон зазвонил...думаю да что ж такое,
142	замок	1	3	47-51	появилось множество мифов связанных с замками: замке Карлштейн посвящен слепому музыканту. Легенда гласит, что этот музыкант обычно
